pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_logg,st_rad,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_dist,st_pmra,st_pmdec,tfopwg_disp
11.1296441,7.0473822,951.6169809,12.8402271,1255.681716,1518.237249,9.3781,5785.0,4.344,3.4475601,6.03e-05,-6.03e-05,0.3110119,-0.3110119,60.711002,-60.711002,0.8162001,-0.8162001,,,,,0.007,-0.007,6.705,-6.705,189.0,-189.0,2.00356,-2.00356,0.174417,-0.174417,338.831,3.226,-16.323,PC
9.4496506,2.021,19750.0,17.0216,38.5799,694.0,9.7825,5509.0,4.39758,0.94,2.8e-06,-2.8e-06,0.027,-0.027,16.7663,-16.7663,1.10249,-1.10249,,,,,0.006,-0.006,0.4197,-0.4197,186.0,-186.0,2.00408,-2.00408,0.06,-0.06,98.8783,4.297,-207.409,PC
2.8493825,3.567,8049.0,16.3869,2005.83,1864.0,10.3157,6900.0,4.438,1.77,3e-07,-3e-07,0.053,-0.053,25.0232,-25.0232,0.734704,-0.734704,,,,,0.006,-0.006,2.729,-2.729,,,,,0.08,-0.08,364.411,10.845,-0.499,KP
2.0685633,0.373,502.0,3.89739,24.409,619.0,9.6652,5687.9,4.6,1.14,4e-06,-4e-06,0.065,-0.065,169.202,-169.202,0.417306,-0.417306,,,,,0.006,-0.006,3.3745,-3.3745,76.0,-76.0,0.12,-0.12,0.07,-0.07,128.491,2.224,-14.604,APC
0.540933,1.674337,257.347459,2.28501,,,9.7345,5525.0,4.25342,1.21935,0.000107,-0.000107,0.329757,-0.329757,27.641214,-27.641214,0.57323,-0.57323,,,,,0.006,-0.006,0.6935,-0.6935,186.0,-186.0,0.29667,-0.29667,0.16458,-0.16458,133.171,24.978,-71.79,FP
4.1150576,1.08,487.0,2.30057,77.3573,826.0,9.478,5394.0,4.50942,0.89,5.6e-06,-5.6e-06,0.323,-0.323,50.8548,-50.8548,0.16833,-0.16833,,,,,0.006,-0.006,0.1632,-0.1632,185.0,-185.0,0.276077,-0.276077,0.05,-0.05,82.1733,107.847,30.732,CP
10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,9.0689,5552.0,4.61783,0.791742,2.37e-05,-2.37e-05,0.1599323,-0.1599323,47.550835,-47.550835,0.2128311,-0.2128311,,,,,0.006,-0.006,0.1009,-0.1009,187.0,-187.0,0.263463,-0.263463,0.0453065,-0.0453065,61.1201,-89.125,-9.6,PC
6.4438657,1.9309449,1121.951228,2.460344,60.831305,712.2812841,10.0059,4803.0,4.52079,0.737189,1.65e-05,-1.65e-05,0.3014965,-0.3014965,76.157646,-76.157646,1.638728,-1.638728,,,,,0.006,-0.006,0.362,-0.362,178.0,-178.0,2.00348,-2.00348,0.0567035,-0.0567035,68.0726,-3.457,-100.891,CP
12.2265595,2.1904379,1206.369329,2.6014766,25.8970378,575.3502049,10.0059,4803.0,4.52079,0.737189,2.69e-05,-2.69e-05,0.4219775,-0.4219775,86.60944,-86.60944,1.7533404,-1.7533404,,,,,0.006,-0.006,0.362,-0.362,178.0,-178.0,2.00348,-2.00348,0.0567035,-0.0567035,68.0726,-3.457,-100.891,CP
2.160344,1.828854,19357.99299,22.503541,,,13.2851,5780.0,4.32928,1.2,0.000276,-0.000276,0.14481,-0.14481,1487.6189,-1487.6189,17.500204,-17.500204,,,,,0.006,-0.006,9.4715,-9.4715,,,,,,,639.004,7.315,-0.862,KP
4.606184,3.121643,13793.03487,12.962219,,,11.9707,5670.0,4.3925,1.07,0.000392,-0.000392,0.078877,-0.078877,1031.5532,-1031.5532,0.582183,-0.582183,,,,,0.006,-0.006,4.919,-4.919,,,,,,,353.891,3.99,-37.19,KP
3.1316735,2.4579197,14915.69437,9.4995191,148.6544991,890.5622134,13.1686,4351.0,4.438,0.76701,3.3e-06,-3.3e-06,0.0815638,-0.0815638,307.91364,-307.91364,0.3442331,-0.3442331,,,,,0.006,-0.006,1.659,-1.659,167.0,-167.0,,,,,263.609,3.125,6.146,KP
3.180362,2.111521,21192.46332,13.446487,,,13.2887,5498.0,4.47934,0.92,0.000247,-0.000247,0.106258,-0.106258,682.47424,-682.47424,0.600679,-0.600679,,,,,0.006,-0.006,7.8145,-7.8145,,,,,,,535.383,11.096,-5.764,KP
